Negative Tweet,Negative Score,Cluster
mental health problems illnesses also account billion lost productivity costs bellletstalk,0.506,2
cmhahamilton mood anxiety disorders impact estimated canadian population mentalhealth anxiety mood hamont,0.254,0
mehepu canada stands tall global fight depression mentalillness canada depression mentalhealth mehepu,0.526,2
nothing like meeting funny videos youtube start soberlife,0.429,2
diagnosed depression suicidal insec know hard fuck need,0.766,1
honestyhour ones perfectso stfu stop judging,0.306,0
hate make spelling error tweet,0.681,1
really bothers hear kids joking suicide like please stop joking worst things ever wont make cool,0.488,2
city rochester york employee stop hate biasmotivatedhate crimes ethiccleanseing hatecrimes apartheid rochesterny deaththreats ethnicintimidation hatespeech racialanimus elderabuse arsonthreats physicalthreats violence,0.37,2
iamaustinjones wanted medsampbeds really diagnosed severe clinical depression years stay strong,0.368,2
fuck realized gonna gone sgfg comes mailim going everyone else gets experience dont,0.226,0
sending promotional messages lukesos michaelsos send peoples freetobeband bomb,0.286,0
fangirling hard freetobeband tweeted djzbhshdielsmdbfh,0.259,0
heyeverybody literally story life broke live pizza pockets,0.286,0
calum hood hotdog costume bitch michael right,0.388,2
looking badass michael groping,0.348,2
squad know looking fine hell heyeverybodymusicvideo,0.442,2
many times watched heyeverybodymusicvideo lost count,0.315,0
everybody good sgfg gonna kill,0.443,2
everybody gives feels guys killed seriously,0.608,1
played heyeverybody freaked driving cried little yeah,0.396,2
made horrible mistake rewatching videos tampa concert currently crying feels,0.562,2
genevieveverso misslusyd though descended illegal moonshine makers dunno ended lightweight,0.286,0
genevieveverso paige arent right dont michael helping dinner helllllp,0.191,0
genevieveverso misslusyd shardfox else scared cinnamon roll,0.326,0
genevieveverso misslusyd shardfox never best twitter friend,0.545,2
ugly christmas cookies priddy family tradition,0.398,2
messed cookies accidentally putting extra sugar shes mother delighted kitchen,0.318,0
dadoberdog didnt today warm,0.357,2
miralurks scare much giant mosquitos,0.444,2
hate giant bugs always giant bugs,0.425,2
misslusyd azarkansero thefuxedos ouch even cruel,0.432,2
misslusyd azarkansero thefuxedos look dirty shakespeare contest take damn crown already,0.384,2
azarkansero thefuxedos itoh shit,0.545,2
away sister succeeded getting hancock companion stealing outfit,0.296,0
shouldnt treated like especially since jobs,0.297,0
stressed coworkers mental well seriously years known never seen,0.336,0
sick perceived anything everything told drives insane,0.545,2
seriously tried hardest everything done damn list time extent,0.386,2
anyway boss made coworker pissed beyond belief,0.412,2
ughhyeah shit,0.783,1
poor cleaning lady,0.608,1
retail hell extra hellish today wheee,0.688,1
yeah live tweeting sisters failures exhaustion weird feelingness,0.537,2
news feeling really weird,0.363,2
train wreck dooooing,0.592,1
wasteland turns life crime doodlethebug,0.467,2
yeahim gonna attack drug deals doodlethebug,0.383,2
sisters gardening obsession making live tweeting session quite dull doodlethebug,0.403,2
misslusyd genevieveverso azarkansero nothingalarming shocked gasp,0.315,0
doodlethebug worst,0.804,1
azarkansero genevieveverso nothingalarming misslusyd thefuxedos shame recoverable,0.341,0
genevieveverso nothingalarming misslusyd thefuxedos damn confuse order names,0.434,2
misslusyd genevieveverso thefuxedos take blame,0.375,2
thefuxedos misslusyd stop becomes unreversable,0.355,2
wouldnt funny things popped land secondmiralurk pops outsister screams,0.397,2
azarkansero thats probably considered terrorist attack thinking,0.609,1
jenwin broke girl left toothpaste know synth diamond city guard,0.212,0
azarkansero ponies arent gonna help unless want distraction,0.435,2
retail hell someone send help,0.447,2
professorotaku beginning look alot like fuck,0.35,2
miss actually excited christmas retail ruined,0.465,2
talizorah almost trying read stop pouncing,0.279,0
drives insane seriously,0.815,1
cafeteria also charges extra transactions hence limit would make money purchase card,0.16,0
explain would make money transaction bank fees damn high,0.252,0
genevieveverso thefuxedos nevermind deleted feed lying,0.405,2
genevieveverso going home today early crap tomorrow,0.302,0
genevieveverso maintain almost hell trying check dates,0.418,2
gilbyranger theres nothing like owner waking scrub barf carpet isnt something trade,0.161,0
record didnt teach actually gets upset dont throw toyponytail holderpe,0.224,0
something drank something took meds head still hurts guess destined miserable,0.412,2
nothingalarming azarkansero misslusyd lizsmith thefuxedos genevieveverso tauril sort dick joke assume,0.228,0
azarkansero misslusyd nothingalarming thefuxedos lizsmith genevieveverso tauril said oops didnt mean like,0.161,0
misslusyd thefuxedos lizsmith azarkansero genevieveverso tauril dont wrong dicks great buuuut,0.222,0
azarkansero misslusyd lizsmith thefuxedos genevieveverso tauril okay whatever broke,0.239,0
youre depressed sick watch chrisvillain videos make feel better,0.426,2
gimme sick return back,0.524,2
need stop,0.688,1
shit take sack fumble come refs dont screw,0.33,0
coledcsr please romo make typical quarter fuck,0.324,0
iight boys lets flip switch overdrive romos hurting lets make regret returning lets,0.333,0
coledcsr yeah definitely sick coming back early hurt,0.429,2
armorogod faith help avoid problems problems stability,0.503,2
redskins happened dallas fumble forced rookie bashaud breeland recovered brandon meriweather,0.231,0
fuck well take fumble still come missed tackles aint gonna games,0.361,2
fuckin disgusted yall fight like,0.571,1
offense dude ryan clark dont wanna morewe need back,0.2,0
pettyford stop watchingyou haterish shit,0.659,1
serious shit lets shock world httr,0.714,1
mvpalazzolla colt mccoy drop dallas,0.344,0
skins lets shock league httr,0.394,2
make didnt start play vengence,0.337,0
crazy head,0.706,1
realpiru thats gettin caught shit anyways niggas always sayin name like know thats,0.324,0
face boredom,0.697,1
bout murder dinner doeee,0.61,1
iight need either friend bitch waiting start work sitting home thing isnt wave ltltlt,0.2,0
damnit fucked,1.0,1
lmfaooo damn,0.73,1
lmaooo told move side lemme slide sofa come kneel suck,0.244,0
fuck shit,1.0,1
broken,1.0,1
could heartless,0.762,1
walk around like dont know gotta friend well homies still lonely,0.307,0
sharing diagnosed severe depression kendrick claire,0.521,2
last post last seen december possible suicide breakthesilence,0.391,2
morningmemo despite open peaceful loving attempt people meet deeply,0.452,2
weak,1.0,1
sharing last week part segment daily drum stated bullying starts adult,0.248,0
prevalent views within africanamerican community intentionally kill,0.439,2
tonight discuss sudden rise suicide among young black youths,0.36,2
weeks diagnosed anxiety depression,0.73,1
worst last drop means gone pourover coffee snobitup morning thursday,0.437,2
sometimes plan camping weather disagrees instead sleepover make,0.247,0
adclaidekanes scream hurt even upbeat music made everything seem,0.466,2
beliamysciarkes dont knwo editing term space part dead,0.381,2
shows dont watch arrow even death disrespect,0.573,1
isntthe black canaryomgthis literally hard understand,0.219,0
possibly true universe origins kill expect somehow fill shoes someone,0.303,0
cameronhoodkin malia cant inhale without entire life bein shit,0.31,0
cameronhoodkin mutuals murder mayb probably,0.54,2
vuicanblood tell isnt true,0.437,2
hinestly shook,0.583,1
whatever youre alone already,0.4,2
theres much science jargon afraid forget process works time actually,0.174,0
dont phone call everyone know either dead hates,0.545,2
leaving flashback kirsten hate,0.552,2
bomb,1.0,1
lydiamcrtins hate spider wont,0.552,2
cameronhoodkin honestly never liked wish woke enough real reasons alisonyikes,0.315,0
vine dead,0.811,1
lydiamcrtins leave baseball pants alone,0.516,2
still screaming,0.722,1
hate yall,0.787,1
feel attacked right,0.6,1
hell amberle eretria thank,0.505,2
literally forget rodeo year lfmakdjkajsj yooooo,0.275,0
rgay welp violating women never gets white mans career,0.304,0
shit,1.0,1
rcatlin josie pussycats wont sing archies original songs riverdale archies sugar sugar episo,0.141,0
decider archie head aguirresacasa said want live action version sabrina teenaged witch evokes rosemarys,0.158,0
sabrina teenage witch likely appear archie series riverdale scoopsdays,0.238,0
instead betraying lucifer would ensure killer would jail,0.506,2
omglucifer killed brother protect chloe chloe gave life long dream getting justice fathers death,0.331,0
omgwhen lucifer finds orchestrated chloe meeting gonna devastated lmfao gonna,0.258,0
wait pause fuck supernatural still going really deadass serious,0.42,2
adelaidekdaily talked adelaide cora alycia asked write star wars quote autograph wrote,0.247,0
amysantiagos stop juts post screaming,0.615,1
actually pretty shocked crazy exgirlfriend lowkey none ratings spectacular dont,0.315,0
pretends shocked,1.0,1
adclaidekanes clarify caption still dead inside,0.462,2
wait actually theres something happened dont wanna spoil think worth watching witch east,0.162,0
incorporated toto flying monkeys shook witch east fuckin ethereal shook,0.431,2
lydiamcrtins liked mostly parts gets extra ugly,0.297,0
suffering,1.0,1
hayrr ghost shell,0.535,2
lydiamcrtins bellamy hesitated hisbhand clarkes back,0.315,0
stydianews update crystal said lydia important people allisons life literally died nemetonita,0.234,0
mikotosvoh vine artemis dick traught,0.452,2
mikotosvoh vine dick wally birdflash,0.452,2
shelleyhennig almost killed,0.678,1
adelaide auditioned daenerys cant ever nice things,0.28,0
amysantiagos pickedemilia herwow offense butwhy,0.333,0
thewalkgindead clarke someone tries hurt bellamy,0.405,2
thewalkgindead cant change tides moon wont cooperate montys best line,0.272,0
thewalkgindead lost bitch loved,0.555,2
thewalkgindead told kill bellamy blake thank theyre talking bellamy blake,0.309,0
lydiamcrtins stop work,0.524,2
lydiamcrtins watching dylan started tell constantly bother noted,0.255,0
lydiamcrtins ahead throw dumpster goodbye,0.286,0
stop snowing dallas raining,0.423,2
browardsheriff confirmed shooting fort lauderdale hollywood international airport multiple people dead subject custo,0.264,0
adclaidekanes believe thsis tweet noticed stupid meme,0.362,2
finally witch show local witch enthusiast,0.476,2
domsherwood today decided learn aint easy folks never give,0.231,0
iriswestaiin ignore messy hair thought cute,0.455,2
thewalkgindead bellarke shippers shaking boots,0.298,0
thewalkgindead killing wells keeping octogenarian alive,0.367,2
adclaidekanes literally never close good amazing thank didnt even want,0.441,2
halsey calling bald bitch drag consider information indeed bald also bitch,0.543,2
